updated,md5sum,filesize,original_filename,archive_filename,ra,dec,ifilter,seeing,depth,exposure,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,proc_type,prod_type,survey,caldat,collections
2021-09-13T21:12:24.698960+0000,1c1c7ae82e03d6fe9f7fb10c7a517e00,288685440,/data_local/images/DTS/2019A-0305/DECam_01032964.fits.fz,/net/archive/mtn/20210913/ct4m/2019A-0305/c4d_210913_203340_zri.fits.fz,230.369579166667,20.8529719444444,solid plate 0.0 0.0,,,0.0,2021-09-13,2021-09-13T20:33:40.597019+0000,[4512],Drlica-Wagner,2019A-0305,2021-09-13,decam,ct4m,ct,,zero,raw,image,,2021-09-13,[None]
2021-09-13T21:12:22.386053+0000,6f28574a8eda9db6571854d5a48800f7,288711360,/data_local/images/DTS/2019A-0305/DECam_01032962.fits.fz,/net/archive/mtn/20210913/ct4m/2019A-0305/c4d_210913_203254_zri.fits.fz,230.173079166667,20.8532769444444,solid plate 0.0 0.0,,,0.0,2021-09-13,2021-09-13T20:32:54.254994+0000,[4512],Drlica-Wagner,2019A-0305,2021-09-13,decam,ct4m,ct,,zero,raw,image,,2021-09-13,[None]
2021-09-13T21:12:20.802311+0000,ecf21861c45e85b33341adad63743cb9,288702720,/data_local/images/DTS/2019A-0305/DECam_01032968.fits.fz,/net/archive/mtn/20210913/ct4m/2019A-0305/c4d_210913_203514_zri.fits.fz,230.758291666667,20.8523330555556,solid plate 0.0 0.0,,,0.0,2021-09-13,2021-09-13T20:35:14.069153+0000,[4512],Drlica-Wagner,2019A-0305,2021-09-13,decam,ct4m,ct,,zero,raw,image,,2021-09-13,[None]
2021-09-10T19:08:22.723183+0000,8d393dfb55ef63588fd30632f0a3d12c,288325440,/data_local/images/DTS/2019A-0337/DECam_01032175.fits.fz,/net/archive/mtn/20210910/ct4m/2019A-0337/c4d_210910_185650_zri.fits.fz,203.120158333333,20.8878880555556,solid plate 0.0 0.0,,,0.0,2021-09-10,2021-09-10T18:56:50.133366+0000,[5011],Trilling,2019A-0337,2021-09-10,decam,ct4m,ct,,zero,raw,image,,2021-09-10,[None]
2021-09-10T19:54:41.448613+0000,8b62d37c77e5f340831f0189c6baa3ae,288262080,/data_local/images/DTS/2019A-0337/DECam_01032181.fits.fz,/net/archive/mtn/20210910/ct4m/2019A-0337/c4d_210910_185914_zri.fits.fz,203.7222,20.88736,solid plate 0.0 0.0,,,0.0,2021-09-10,2021-09-10T18:59:14.260094+0000,[5011],Trilling,2019A-0337,2021-09-10,decam,ct4m,ct,,zero,raw,image,,2021-09-10,[None]
2021-09-11T19:27:39.923056+0000,577140d82a44b38f08d7fe41e951a68a,289025280,/data_local/images/DTS/2019A-0337/DECam_01032553.fits.fz,/net/archive/mtn/20210911/ct4m/2019A-0337/c4d_210911_191818_zri.fits.fz,209.489579166667,20.8861938888889,solid plate 0.0 0.0,,,0.0,2021-09-11,2021-09-11T19:18:18.293624+0000,[5011],Trilling,2019A-0337,2021-09-11,decam,ct4m,ct,,zero,raw,image,,2021-09-11,[None]
2021-09-12T19:24:20.226283+0000,84cf65202d98edb49b80da097759c01a,289679040,/data_local/images/DTS/2019A-0337/DECam_01032669.fits.fz,/net/archive/mtn/20210912/ct4m/2019A-0337/c4d_210912_191906_zri.fits.fz,210.753991666667,20.8851938888889,solid plate 0.0 0.0,,,0.0,2021-09-12,2021-09-12T19:19:06.168472+0000,[5011],Trilling,2019A-0337,2021-09-12,decam,ct4m,ct,,zero,raw,image,,2021-09-12,[None]
2021-09-13T19:04:24.309176+0000,e62e1fa1b3978321d7066a2dea690ec5,288492480,/data_local/images/DTS/2019A-0305/DECam_01032868.fits.fz,/net/archive/mtn/20210913/ct4m/2019A-0305/c4d_210913_185915_zri.fits.fz,206.687954166667,20.88361,solid plate 0.0 0.0,,,0.0,2021-09-13,2021-09-13T18:59:15.874245+0000,[4512],Drlica-Wagner,2019A-0305,2021-09-13,decam,ct4m,ct,,zero,raw,image,,2021-09-13,[None]
2021-09-13T19:08:34.445147+0000,fc12d14c77e402bf494adccd407ac57b,288599040,/data_local/images/DTS/2019A-0305/DECam_01032861.fits.fz,/net/archive/mtn/20210913/ct4m/2019A-0305/c4d_210913_185632_zri.fits.fz,206.006491666667,20.8842488888889,solid plate 0.0 0.0,,,0.0,2021-09-13,2021-09-13T18:56:32.824331+0000,[4512],Drlica-Wagner,2019A-0305,2021-09-13,decam,ct4m,ct,,zero,raw,image,,2021-09-13,[None]
2021-09-10T21:04:29.802362+0000,4a33ee5e48f46493bfe1d11f5128cbdc,287196480,/data_local/images/DTS/2019A-0337/DECam_01032281.fits.fz,/net/archive/mtn/20210910/ct4m/2019A-0337/c4d_210910_203522_zri.fits.fz,227.834908333333,20.8580830555556,solid plate 0.0 0.0,,,0.0,2021-09-10,2021-09-10T20:35:22.496560+0000,[5011],Trilling,2019A-0337,2021-09-10,decam,ct4m,ct,,zero,raw,image,,2021-09-10,[None]
