updated,md5sum,filesize,original_filename,archive_filename,ra,dec,ifilter,seeing,depth,exposure,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,proc_type,prod_type,survey,caldat,collections
2021-09-13T19:27:22.477743+0000,3c1f200e27e7e43138749ee87b85fe3e,678291840,/data_local/images/DTS/2019A-0305/DECam_01032878.fits.fz,/net/archive/mtn/20210913/ct4m/2019A-0305/c4d_210913_191641_fri.fits.fz,37.0595416666667,-5.44416305555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-13,2021-09-13T19:16:41.967432+0000,[4512],Drlica-Wagner,2019A-0305,2021-09-13,decam,ct4m,ct,,dome flat,raw,image,,2021-09-13,[None]
2021-09-13T19:32:23.006507+0000,33eb7949b917316fceccfc0da0ba4b4d,677574720,/data_local/images/DTS/2019A-0305/DECam_01032881.fits.fz,/net/archive/mtn/20210913/ct4m/2019A-0305/c4d_210913_192254_fri.fits.fz,37.0595416666667,-5.44416305555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-13,2021-09-13T19:22:54.618062+0000,[4512],Drlica-Wagner,2019A-0305,2021-09-13,decam,ct4m,ct,,dome flat,raw,image,,2021-09-13,[None]
2021-09-12T18:08:26.880079+0000,e1de4afb7e1000b889b225e220e8c3bf,687072960,/data_local/images/DTS/2019A-0337/DECam_01032585.fits.fz,/net/archive/mtn/20210912/ct4m/2019A-0337/c4d_210912_175738_fri.fits.fz,37.0595416666667,-5.44416305555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-12,2021-09-12T17:57:38.563220+0000,[5011],Trilling,2019A-0337,2021-09-12,decam,ct4m,ct,,dome flat,raw,image,,2021-09-12,[None]
2021-09-14T19:36:30.107246+0000,ec355a08f798c71a280a5b36d0e77b1e,685667520,/data_local/images/DTS/2019A-0305/DECam_01033091.fits.fz,/net/archive/mtn/20210914/ct4m/2019A-0305/c4d_210914_184626_fri.fits.fz,37.0595416666667,-5.44416305555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-14,2021-09-14T18:46:26.671721+0000,[4512],Drlica-Wagner,2019A-0305,2021-09-14,decam,ct4m,ct,,dome flat,raw,image,,2021-09-14,[None]
2021-09-03T20:48:26.199602+0000,c7606a1c89631b06490434d400e91f3b,684230400,/data_local/images/DTS/2019A-0337/DECam_01028443.fits.fz,/net/archive/mtn/20210903/ct4m/2019A-0337/c4d_210903_203332_fri.fits.fz,323.7204,-29.6958319444444,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-03,2021-09-03T20:33:32.507058+0000,[5011],Trilling,2019A-0337,2021-09-03,decam,ct4m,ct,,dome flat,raw,image,,2021-09-03,[None]
2021-09-06T05:52:27.587949+0000,73cdd834d5c24451ec56401c41f9a61a,684492480,/data_local/images/DTS/2019A-0337/DECam_01029254.fits.fz,/net/archive/mtn/20210905/ct4m/2019A-0337/c4d_210905_190736_fri.fits.fz,52.6000041666667,-28.1,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-05,2021-09-05T19:07:36.805769+0000,[5011],Trilling,2019A-0337,2021-09-05,decam,ct4m,ct,,dome flat,raw,image,,2021-09-05,[None]
2021-09-06T19:20:23.062914+0000,e139424067db13011148aad42ce5888a,684472320,/data_local/images/DTS/2019A-0337/DECam_01029815.fits.fz,/net/archive/mtn/20210906/ct4m/2019A-0337/c4d_210906_191118_fri.fits.fz,338.358329166667,-60.6358330555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-06,2021-09-06T19:11:18.768397+0000,[5011],Trilling,2019A-0337,2021-09-06,decam,ct4m,ct,,dome flat,raw,image,,2021-09-06,[None]
2021-09-02T20:16:19.694720+0000,f60260162c2753524c459b5ed243cd7b,685054080,/data_local/images/DTS/2021B-0332/DECam_01028217.fits.fz,/net/archive/mtn/20210902/ct4m/2021B-0332/c4d_210902_200637_fri.fits.fz,49.9999958333333,0.0,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-02,2021-09-02T20:06:37.217462+0000,[5072],Sheppard,2021B-0332,2021-09-02,decam,ct4m,ct,,dome flat,raw,image,,2021-09-02,[None]
2021-09-04T20:18:30.015217+0000,f2cbc2e75b6aa977a40624d429fe8ccb,683979840,/data_local/images/DTS/2019A-0337/DECam_01028712.fits.fz,/net/archive/mtn/20210904/ct4m/2019A-0337/c4d_210904_201318_fri.fits.fz,357.106291666667,-30.7943411111111,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-04,2021-09-04T20:13:18.781202+0000,[5011],Trilling,2019A-0337,2021-09-04,decam,ct4m,ct,,dome flat,raw,image,,2021-09-04,[None]
2021-09-08T19:24:21.854679+0000,c39fa802320b6eddb91505673b604ec1,685267200,/data_local/images/DTS/2019A-0337/DECam_01030986.fits.fz,/net/archive/mtn/20210908/ct4m/2019A-0337/c4d_210908_191618_fri.fits.fz,338.358329166667,-60.6358330555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-08,2021-09-08T19:16:18.544169+0000,[5011],Trilling,2019A-0337,2021-09-08,decam,ct4m,ct,,dome flat,raw,image,,2021-09-08,[None]
