updated,md5sum,filesize,original_filename,archive_filename,ra,dec,ifilter,seeing,depth,exposure,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,proc_type,prod_type,survey,caldat,collections
2021-03-10T07:44:13.154953+0000,0137442f5743b163b83c66f49a5f305e,683844480,/data_local/images/DTS/2020B-0288/DECam_00972231.fits.fz,/net/archive/mtn/20210308/ct4m/2020B-0288/c4d_210308_192836_fri.fits.fz,234.748545833333,-28.51146,N708 DECam c0012 7080.0 400.0,,,100.0,2021-03-08,2021-03-08T19:28:36.963016+0000,[14726],Leauthaud,2020B-0288,2021-03-08,decam,ct4m,ct,,dome flat,raw,image,,2021-03-08,[None]
2021-03-10T06:55:12.602908+0000,efe2e781150582ed41c3e8ac2fec5f8f,685598400,/data_local/images/DTS/2020B-0288/DECam_00972007.fits.fz,/net/archive/mtn/20210307/ct4m/2020B-0288/c4d_210307_192834_fri.fits.fz,204.253829166667,-29.9490938888889,N708 DECam c0012 7080.0 400.0,,,100.0,2021-03-07,2021-03-07T19:28:34.603397+0000,[14726],Leauthaud,2020B-0288,2021-03-07,decam,ct4m,ct,,dome flat,raw,image,,2021-03-07,[None]
2021-03-10T06:55:16.331813+0000,f4ce99062dba6989b8282e2e7cdc88b2,685975680,/data_local/images/DTS/2020B-0288/DECam_00972004.fits.fz,/net/archive/mtn/20210307/ct4m/2020B-0288/c4d_210307_192221_fri.fits.fz,204.253829166667,-29.9490938888889,N708 DECam c0012 7080.0 400.0,,,100.0,2021-03-07,2021-03-07T19:22:21.787146+0000,[14726],Leauthaud,2020B-0288,2021-03-07,decam,ct4m,ct,,dome flat,raw,image,,2021-03-07,[None]
2021-03-10T06:53:05.240118+0000,c1e2a4dd769848bb3493bea6112fef78,685497600,/data_local/images/DTS/2020B-0288/DECam_00972008.fits.fz,/net/archive/mtn/20210307/ct4m/2020B-0288/c4d_210307_193038_fri.fits.fz,204.253829166667,-29.9490938888889,N708 DECam c0012 7080.0 400.0,,,100.0,2021-03-07,2021-03-07T19:30:38.685116+0000,[14726],Leauthaud,2020B-0288,2021-03-07,decam,ct4m,ct,,dome flat,raw,image,,2021-03-07,[None]
2021-03-10T07:15:19.154422+0000,d6a6ea6c078a10e6e199b04c20b3692a,466015680,/data_local/images/DTS/2020B-0288/DECam_00972117.fits.fz,/net/archive/mtn/20210307/ct4m/2020B-0288/c4d_210308_014952_ori.fits.fz,134.248633333333,-0.69781,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-08,2021-03-08T01:49:52.346102+0000,[14726],Leauthaud,2020B-0288,2021-03-07,decam,ct4m,ct,,object,raw,image,,2021-03-07,[None]
2021-03-10T07:16:42.271585+0000,dfa266ea65d87c328cecad9ae07266f8,464598720,/data_local/images/DTS/2020B-0288/DECam_00972122.fits.fz,/net/archive/mtn/20210307/ct4m/2020B-0288/c4d_210308_024220_ori.fits.fz,136.131583333333,-0.781031944444444,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-08,2021-03-08T02:42:20.013082+0000,[14726],Leauthaud,2020B-0288,2021-03-07,decam,ct4m,ct,,object,raw,image,,2021-03-07,[None]
2021-02-26T06:07:37.061552+0000,ba18adf3b53d79a2d16170175074a7af,289753920,/data_local/images/DTS/2012B-0005/DECam_00968596.fits.fz,/net/archive/mtn/20210225/ct4m/2012B-0005/c4d_210226_034952_cri.fits.fz,142.590870833333,20.8769719444444,N708 DECam c0012 7080.0 400.0,,,30.0,2021-02-26,2021-02-26T03:49:52.382118+0000,[None],,2012B-0005,2021-02-25,decam,ct4m,ct,,calibration,raw,image,,2021-02-25,[None]
2021-02-26T06:07:42.518863+0000,ee9aa01a37f7a25870e00617947a7a9e,290508480,/data_local/images/DTS/2012B-0005/DECam_00968593.fits.fz,/net/archive/mtn/20210225/ct4m/2012B-0005/c4d_210226_034630_cri.fits.fz,141.746416666667,20.8758880555556,N708 DECam c0012 7080.0 400.0,,,30.0,2021-02-26,2021-02-26T03:46:30.133056+0000,[None],,2012B-0005,2021-02-25,decam,ct4m,ct,,calibration,raw,image,,2021-02-25,[None]
2021-02-28T18:30:47.825523+0000,90a296777deff365f30c49569e18de53,646574400,/data_local/images/DTS/2021A-0149/DECam_00969908.fits.fz,/net/archive/mtn/20210228/ct4m/2021A-0149/c4d_210228_182440_fri.fits.fz,221.387504166667,-45.2594438888889,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-28,2021-02-28T18:24:40.160048+0000,[None],,2021A-0149,2021-02-28,decam,ct4m,ct,,dome flat,raw,image,,2021-02-28,[None]
2021-02-28T18:37:01.958541+0000,3a5ff90f5c1a1d26ff8b1aecfcfa47ed,646660800,/data_local/images/DTS/2021A-0149/DECam_00969907.fits.fz,/net/archive/mtn/20210228/ct4m/2021A-0149/c4d_210228_182315_fri.fits.fz,221.387504166667,-45.2594438888889,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-28,2021-02-28T18:23:15.489685+0000,[None],,2021A-0149,2021-02-28,decam,ct4m,ct,,dome flat,raw,image,,2021-02-28,[None]
2021-03-02T19:06:34.329434+0000,ae2a04f3c6a61918cdae46e705f94e37,649509120,/data_local/images/DTS/2019A-0305/DECam_00970509.fits.fz,/net/archive/mtn/20210302/ct4m/2019A-0305/c4d_210302_185954_fri.fits.fz,290.4,-19.485,N708 DECam c0012 7080.0 400.0,,,60.0,2021-03-02,2021-03-02T18:59:54.022498+0000,[4512],Drlica-Wagner,2019A-0305,2021-03-02,decam,ct4m,ct,,dome flat,raw,image,,2021-03-02,[None]
2021-02-26T04:24:26.766457+0000,8220eb757cc1bffb4612e4d9cb2cf023,426003840,/data_local/images/DTS/2013A-9999/DECam_00968611.fits.fz,/net/archive/mtn/20210225/ct4m/2013A-9999/c4d_210226_041906_ori.fits.fz,146.340825,-30.2027769444444,N708 DECam c0012 7080.0 400.0,,,15.0,2021-02-26,2021-02-26T04:19:06.109491+0000,[3899],Walker,2013A-9999,2021-02-25,decam,ct4m,ct,,object,raw,image,,2021-02-25,[None]
2021-02-26T04:31:28.253497+0000,89c1fbb9669ec7341e60da433d80bf9d,430453440,/data_local/images/DTS/2013A-9999/DECam_00968612.fits.fz,/net/archive/mtn/20210225/ct4m/2013A-9999/c4d_210226_041947_ori.fits.fz,146.340825,-30.2027769444444,N708 DECam c0012 7080.0 400.0,,,15.0,2021-02-26,2021-02-26T04:19:47.899162+0000,[3899],Walker,2013A-9999,2021-02-25,decam,ct4m,ct,,object,raw,image,,2021-02-25,[None]
2021-02-26T05:01:09.998459+0000,9d2e954bd41ada83909abd88057f327f,297578880,/data_local/images/DTS/2012B-0005/DECam_00968522.fits.fz,/net/archive/mtn/20210225/ct4m/2012B-0005/c4d_210226_021159_cri.fits.fz,118.042125,20.8384988888889,N708 DECam c0012 7080.0 400.0,,,30.0,2021-02-26,2021-02-26T02:11:59.301839+0000,[None],,2012B-0005,2021-02-25,decam,ct4m,ct,,calibration,raw,image,,2021-02-25,[None]
2021-02-27T04:07:43.663259+0000,0be39d33938eb9af878e192455ad15fc,351884160,/data_local/images/DTS/2013A-9999/DECam_00968996.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_035821_ori.fits.fz,159.011204166667,-35.38199,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T03:58:21.325600+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:07:56.709209+0000,4dfbaaa1fae5583136adf309c09c1fcc,351656640,/data_local/images/DTS/2013A-9999/DECam_00968997.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_035853_ori.fits.fz,158.629891666667,-35.38199,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T03:58:53.442970+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:25:15.486471+0000,2f53fe3c84fb21c604f036089fb20209,351011520,/data_local/images/DTS/2013A-9999/DECam_00969035.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_041951_ori.fits.fz,157.483591666667,-36.0392,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:19:51.895033+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:25:18.203510+0000,6de47eb4a0515444136abeb0cdbb7918,350873280,/data_local/images/DTS/2013A-9999/DECam_00969033.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_041846_ori.fits.fz,158.249354166667,-36.0392,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:18:46.377970+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:15:23.483350+0000,e1e5184c9e2e23d508fd99e706e3bb67,351696960,/data_local/images/DTS/2013A-9999/DECam_00968999.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_035959_ori.fits.fz,157.867258333333,-35.38199,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T03:59:59.110755+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-28T18:30:45.296307+0000,22257b59dc44d40357fbc3355116de5a,646807680,/data_local/images/DTS/2021A-0149/DECam_00969906.fits.fz,/net/archive/mtn/20210228/ct4m/2021A-0149/c4d_210228_182151_fri.fits.fz,221.387504166667,-45.2594438888889,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-28,2021-02-28T18:21:51.307993+0000,[None],,2021A-0149,2021-02-28,decam,ct4m,ct,,dome flat,raw,image,,2021-02-28,[None]
2021-03-05T19:12:12.763207+0000,1decfe2e3fc53d692acf542e87d65e1f,646931520,/data_local/images/DTS/2020B-0288/DECam_00971559.fits.fz,/net/archive/mtn/20210305/ct4m/2020B-0288/c4d_210305_185530_fri.fits.fz,301.841670833333,-44.6169438888889,N708 DECam c0012 7080.0 400.0,,,60.0,2021-03-05,2021-03-05T18:55:30.114980+0000,[14726],Leauthaud,2020B-0288,2021-03-05,decam,ct4m,ct,,dome flat,raw,image,,2021-03-05,[None]
